PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-7-10,119,106,93,,,,,,,,,,,,,,,,0.00,,,
2014-7-11,116,102,87,,,,,,,,,,,,,,,,0.00,,,
2014-7-12,114,99,84,,,,,,,,,,,,,,,,0.00,,,
2014-7-13,118,101,83,,,,,,,,,,,,,,,,0.00,,,
2014-7-14,126,111,95,,,,,,,,,,,,,,,,0.00,,,
2014-7-15,119,102,85,,,,,,,,,,,,,,,,0.05,,,
2014-7-16,118,104,89,,,,,,,,,,,,,,,,0.00,,,
2014-7-17,120,105,89,,,,,,,,,,,,,,,,0.00,,,
2014-7-18,120,104,87,,,,,,,,,,,,,,,,0.00,,,
2014-7-19,118,104,90,,,,,,,,,,,,,,,,0.00,,,
2014-7-20,117,101,85,,,,,,,,,,,,,,,,0.00,,,
2014-7-21,115,101,86,,,,,,,,,,,,,,,,0.00,,,
2014-7-22,114,100,86,,,,,,,,,,,,,,,,0.00,,,
2014-7-23,118,105,92,,,,,,,,,,,,,,,,0.00,,,
2014-7-24,121,106,90,,,,,,,,,,,,,,,,0.00,,,
2014-7-25,123,107,91,,,,,,,,,,,,,,,,0.00,,,
2014-7-26,123,107,91,,,,,,,,,,,,,,,,0.00,,,
2014-7-27,120,107,93,,,,,,,,,,,,,,,,0.00,,,
2014-7-28,118,105,91,,,,,,,,,,,,,,,,0.00,,,
2014-7-29,118,101,84,,,,,,,,,,,,,,,,0.00,,,
2014-7-30,114,101,87,,,,,,,,,,,,,,,,0.00,,,
2014-7-31,119,101,82,,,,,,,,,,,,,,,,0.00,,,
2014-8-1,118,104,89,,,,,,,,,,,,,,,,0.00,,,
2014-8-2,122,108,93,,,,,,,,,,,,,,,,0.00,,,
2014-8-3,114,98,82,,,,,,,,,,,,,,,,0.00,,,
2014-8-4,89,84,78,,,,,,,,,,,,,,,,0.02,,,
2014-8-5,103,91,78,,,,,,,,,,,,,,,,0.00,,,
2014-8-6,111,100,88,,,,,,,,,,,,,,,,0.00,,,
2014-8-7,114,100,85,,,,,,,,,,,,,,,,0.00,,,
2014-8-8,115,100,85,,,,,,,,,,,,,,,,0.00,,,
2014-8-9,115,103,90,,,,,,,,,,,,,,,,0.00,,,
2014-8-10,116,103,90,,,,,,,,,,,,,,,,0.00,,,
2014-8-11,119,105,91,,,,,,,,,,,,,,,,0.00,,,
2014-8-12,102,91,79,,,,,,,,,,,,,,,,0.13,,,
2014-8-13,113,98,83,,,,,,,,,,,,,,,,0.00,,,
2014-8-14,114,101,87,,,,,,,,,,,,,,,,0.00,,,
2014-8-15,114,99,84,,,,,,,,,,,,,,,,0.00,,,
2014-8-16,116,101,86,,,,,,,,,,,,,,,,0.00,,,
2014-8-17,117,100,82,,,,,,,,,,,,,,,,0.00,,,
2014-8-18,118,104,89,,,,,,,,,,,,,,,,0.00,,,
2014-8-19,117,103,88,,,,,,,,,,,,,,,,0.00,,,
2014-8-20,114,100,85,,,,,,,,,,,,,,,,0.00,,,
2014-8-21,108,97,85,,,,,,,,,,,,,,,,0.00,,,
2014-8-22,111,98,85,,,,,,,,,,,,,,,,0.00,,,
2014-8-23,112,98,84,,,,,,,,,,,,,,,,0.00,,,
2014-8-24,110,98,86,,,,,,,,,,,,,,,,0.00,,,
2014-8-25,111,98,84,,,,,,,,,,,,,,,,0.00,,,
2014-8-26,112,98,84,,,,,,,,,,,,,,,,0.00,,,
2014-8-27,109,97,84,,,,,,,,,,,,,,,,0.00,,,
2014-8-28,112,95,77,,,,,,,,,,,,,,,,0.00,,,
2014-8-29,115,96,77,,,,,,,,,,,,,,,,0.00,,,
2014-8-30,118,100,81,,,,,,,,,,,,,,,,0.00,,,
2014-8-31,115,100,85,,,,,,,,,,,,,,,,0.00,,,
2014-9-1,115,98,80,,,,,,,,,,,,,,,,0.00,,,
2014-9-2,116,99,81,,,,,,,,,,,,,,,,0.00,,,
2014-9-3,117,103,89,,,,,,,,,,,,,,,,0.00,,,
2014-9-4,114,101,88,,,,,,,,,,,,,,,,0.00,,,
2014-9-5,114,101,88,,,,,,,,,,,,,,,,0.00,,,
2014-9-6,115,100,85,,,,,,,,,,,,,,,,0.00,,,
2014-9-7,115,100,85,,,,,,,,,,,,,,,,0.00,,,
2014-9-8,111,100,89,,,,,,,,,,,,,,,,0.57,,,
2014-9-9,105,94,82,,,,,,,,,,,,,,,,0.00,,,
2014-9-10,107,93,78,,,,,,,,,,,,,,,,0.00,,,
2014-9-11,110,92,74,,,,,,,,,,,,,,,,0.00,,,
2014-9-12,113,96,78,,,,,,,,,,,,,,,,0.00,,,
2014-9-13,115,97,78,,,,,,,,,,,,,,,,0.00,,,
2014-9-14,115,98,80,,,,,,,,,,,,,,,,0.00,,,
2014-9-15,117,100,82,,,,,,,,,,,,,,,,0.00,,,
2014-9-16,119,101,82,,,,,,,,,,,,,,,,0.00,,,
2014-9-17,119,102,85,,,,,,,,,,,,,,,,0.00,,,
2014-9-18,113,101,89,,,,,,,,,,,,,,,,0.00,,,
2014-9-19,112,97,81,,,,,,,,,,,,,,,,0.00,,,
2014-9-20,105,92,79,,,,,,,,,,,,,,,,0.00,,,
2014-9-21,102,88,73,,,,,,,,,,,,,,,,0.19,,,
2014-9-22,105,89,73,,,,,,,,,,,,,,,,0.00,,,
2014-9-23,108,92,75,,,,,,,,,,,,,,,,0.00,,,
2014-9-24,110,91,72,,,,,,,,,,,,,,,,0.00,,,
2014-9-25,111,93,74,,,,,,,,,,,,,,,,0.00,,,
2014-9-26,110,97,83,,,,,,,,,,,,,,,,0.00,,,
2014-9-27,106,87,68,,,,,,,,,,,,,,,,0.00,,,
2014-9-28,94,81,68,,,,,,,,,,,,,,,,0.00,,,
2014-9-29,92,78,64,,,,,,,,,,,,,,,,0.00,,,
2014-9-30,93,79,64,,,,,,,,,,,,,,,,0.00,,,
2014-10-1,98,82,66,,,,,,,,,,,,,,,,0.00,,,
2014-10-2,98,86,74,,,,,,,,,,,,,,,,0.00,,,
2014-10-3,98,81,64,,,,,,,,,,,,,,,,0.00,,,
2014-10-4,104,84,64,,,,,,,,,,,,,,,,0.00,,,
2014-10-5,103,81,59,,,,,,,,,,,,,,,,0.00,,,
2014-10-6,107,84,61,,,,,,,,,,,,,,,,0.00,,,
2014-10-7,107,85,62,,,,,,,,,,,,,,,,0.00,,,
2014-10-8,105,88,70,,,,,,,,,,,,,,,,0.00,,,
2014-10-9,104,88,71,,,,,,,,,,,,,,,,0.00,,,
2014-10-10,102,85,68,,,,,,,,,,,,,,,,0.00,,,
2014-10-11,102,84,66,,,,,,,,,,,,,,,,0.00,,,
2014-10-12,103,86,69,,,,,,,,,,,,,,,,0.00,,,
2014-10-13,103,86,69,,,,,,,,,,,,,,,,0.00,,,
2014-10-14,99,80,61,,,,,,,,,,,,,,,,0.00,,,
2014-10-15,99,85,70,,,,,,,,,,,,,,,,0.00,,,
2014-10-16,98,85,71,,,,,,,,,,,,,,,,0.00,,,
2014-10-17,93,77,61,,,,,,,,,,,,,,,,0.00,,,
2014-10-18,94,81,67,,,,,,,,,,,,,,,,0.00,,,
2014-10-19,98,82,66,,,,,,,,,,,,,,,,0.00,,,
2014-10-20,101,84,66,,,,,,,,,,,,,,,,0.00,,,
2014-10-21,101,88,74,,,,,,,,,,,,,,,,0.00,,,
2014-10-22,96,81,66,,,,,,,,,,,,,,,,0.00,,,
2014-10-23,96,79,61,,,,,,,,,,,,,,,,0.00,,,
2014-10-24,95,79,62,,,,,,,,,,,,,,,,0.00,,,
2014-10-25,98,82,66,,,,,,,,,,,,,,,,0.00,,,
2014-10-26,98,85,71,,,,,,,,,,,,,,,,0.00,,,
2014-10-27,91,78,65,,,,,,,,,,,,,,,,0.00,,,
2014-10-28,89,73,57,,,,,,,,,,,,,,,,0.00,,,
2014-10-29,91,73,55,,,,,,,,,,,,,,,,0.00,,,
2014-10-30,93,75,57,,,,,,,,,,,,,,,,0.00,,,
2014-10-31,91,75,59,,,,,,,,,,,,,,,,0.00,,,
2014-11-1,92,78,64,,,,,,,,,,,,,,,,0.00,,,
2014-11-2,79,67,55,,,,,,,,,,,,,,,,0.02,,,
2014-11-3,80,71,61,,,,,,,,,,,,,,,,0.00,,,
2014-11-4,78,66,54,,,,,,,,,,,,,,,,0.00,,,
2014-11-5,82,67,51,,,,,,,,,,,,,,,,0.00,,,
2014-11-6,88,71,54,,,,,,,,,,,,,,,,0.00,,,
2014-11-7,88,71,53,,,,,,,,,,,,,,,,0.00,,,
2014-11-8,87,71,54,,,,,,,,,,,,,,,,0.00,,,
2014-11-9,90,73,55,,,,,,,,,,,,,,,,0.00,,,
2014-11-10,88,70,52,,,,,,,,,,,,,,,,0.00,,,
2014-11-11,86,69,51,,,,,,,,,,,,,,,,0.00,,,
2014-11-12,84,69,54,,,,,,,,,,,,,,,,0.00,,,
2014-11-13,83,69,54,,,,,,,,,,,,,,,,0.00,,,
2014-11-14,83,71,58,,,,,,,,,,,,,,,,0.00,,,
2014-11-15,84,68,52,,,,,,,,,,,,,,,,0.00,,,
2014-11-16,81,68,55,,,,,,,,,,,,,,,,0.00,,,
2014-11-17,72,58,43,,,,,,,,,,,,,,,,0.00,,,
2014-11-18,73,56,38,,,,,,,,,,,,,,,,0.00,,,
2014-11-19,72,59,45,,,,,,,,,,,,,,,,0.00,,,
2014-11-20,73,58,42,,,,,,,,,,,,,,,,0.00,,,
2014-11-21,70,59,47,,,,,,,,,,,,,,,,0.00,,,
2014-11-22,80,64,48,,,,,,,,,,,,,,,,0.00,,,
2014-11-23,75,65,54,,,,,,,,,,,,,,,,0.00,,,
2014-11-24,79,61,42,,,,,,,,,,,,,,,,0.00,,,
2014-11-25,75,58,40,,,,,,,,,,,,,,,,0.00,,,
2014-11-26,79,60,41,,,,,,,,,,,,,,,,0.00,,,
2014-11-27,74,59,43,,,,,,,,,,,,,,,,0.00,,,
2014-11-28,62,49,36,,,,,,,,,,,,,,,,0.00,,,
2014-11-29,71,54,37,,,,,,,,,,,,,,,,0.00,,,
2014-11-30,70,58,45,,,,,,,,,,,,,,,,0.00,,,
2014-12-1,79,65,51,,,,,,,,,,,,,,,,0.00,,,
2014-12-2,74,64,53,,,,,,,,,,,,,,,,0.00,,,
2014-12-3,59,57,54,,,,,,,,,,,,,,,,0.53,,,
2014-12-4,62,59,55,,,,,,,,,,,,,,,,0.00,,,
2014-12-5,71,63,54,,,,,,,,,,,,,,,,0.00,,,
2014-12-6,67,60,53,,,,,,,,,,,,,,,,0.01,,,
2014-12-7,75,62,49,,,,,,,,,,,,,,,,0.00,,,
2014-12-8,72,60,48,,,,,,,,,,,,,,,,0.00,,,
2014-12-9,76,62,47,,,,,,,,,,,,,,,,0.00,,,
2014-12-10,74,61,47,,,,,,,,,,,,,,,,0.00,,,
2014-12-11,70,60,50,,,,,,,,,,,,,,,,0.00,,,
2014-12-12,75,64,53,,,,,,,,,,,,,,,,0.00,,,
2014-12-13,71,60,49,,,,,,,,,,,,,,,,0.05,,,
2014-12-14,69,55,41,,,,,,,,,,,,,,,,0.00,,,
2014-12-15,64,52,40,,,,,,,,,,,,,,,,0.00,,,
2014-12-16,62,53,43,,,,,,,,,,,,,,,,0.00,,,
2014-12-17,63,55,47,,,,,,,,,,,,,,,,0.00,,,
2014-12-18,60,54,48,,,,,,,,,,,,,,,,0.00,,,
2014-12-19,67,55,43,,,,,,,,,,,,,,,,0.00,,,
2014-12-20,63,53,43,,,,,,,,,,,,,,,,0.00,,,
2014-12-21,65,53,41,,,,,,,,,,,,,,,,0.00,,,
2014-12-22,63,52,40,,,,,,,,,,,,,,,,0.00,,,
2014-12-23,66,55,44,,,,,,,,,,,,,,,,0.00,,,
2014-12-24,80,62,44,,,,,,,,,,,,,,,,0.00,,,
2014-12-25,64,55,46,,,,,,,,,,,,,,,,0.00,,,
2014-12-26,66,58,50,,,,,,,,,,,,,,,,0.00,,,
2014-12-27,65,54,43,,,,,,,,,,,,,,,,0.00,,,
2014-12-28,60,48,35,,,,,,,,,,,,,,,,0.00,,,
2014-12-29,59,45,31,,,,,,,,,,,,,,,,0.00,,,
2014-12-30,58,47,36,,,,,,,,,,,,,,,,0.00,,,
2014-12-31,60,52,43,,,,,,,,,,,,,,,,0.00,,,
