AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-25,47,42,36,,39,,100,93,80,,30.21,,,,,,2,12,0.00,,,330
2014-1-26,47,41,34,,37,,100,88,71,,30.09,,,,,,3,18,0.00,,,330
2014-1-27,57,50,43,,37,,96,64,40,,29.97,,,,,,9,24,0.00,,,90
2014-1-28,45,41,37,,41,,100,95,73,,30.10,,,,,,3,19,0.54,,,320
2014-1-29,43,38,33,,35,,100,85,71,,30.07,,,,,,6,24,0.00,,,350
2014-1-30,42,36,30,,32,,97,89,71,,30.08,,,,,,1,8,0.00,,,70
2014-1-31,37,33,28,,30,,96,89,82,,30.12,,,,,,4,12,0.00,,,110
2014-2-1,39,34,28,,28,,96,84,70,,30.22,,,,,,2,9,0.00,,,110
2014-2-2,42,35,27,,20,,88,60,33,,30.32,,,,,,4,12,0.00,,,90
2014-2-3,38,34,29,,13,,82,42,32,,30.47,,,,,,6,21,0.00,,,120
2014-2-4,34,29,24,,6,,53,37,25,,30.58,,,,,,6,17,0.00,,,120
2014-2-5,35,29,22,,6,,57,39,26,,30.55,,,,,,5,15,0.00,,,100
2014-2-6,32,26,20,,11,,75,55,37,,30.17,,,,,,4,11,0.00,,,100
2014-2-7,37,30,22,,20,,85,70,58,,29.97,,,,,,4,12,0.00,,,350
2014-2-8,33,27,20,,15,,82,61,40,,30.09,,,,,,4,16,0.00,,,110
2014-2-9,30,27,24,,8,,75,45,37,,29.96,,,,,,13,33,0.00,,,110
2014-2-10,32,27,22,,3,,66,36,27,,29.64,,,,,,9,33,0.00,,,100
2014-2-11,29,25,20,,11,,75,58,44,,29.52,,,,,,9,25,0.00,,,330
2014-2-12,33,25,17,,19,,85,73,46,,29.42,,,,,,11,24,0.00,,,110
2014-2-13,36,33,29,,26,,100,79,44,,29.25,,,,,,11,37,0.21,,,100
2014-2-14,40,36,32,,32,,100,86,67,,29.13,,,,,,13,32,0.67,,,100
2014-2-15,44,37,29,,32,,97,77,63,,28.97,,,,,,20,51,0.51,,,110
2014-2-16,37,33,29,,27,,92,74,64,,29.12,,,,,,8,31,0.04,,,110
2014-2-17,39,36,32,,30,,96,79,62,,29.22,,,,,,9,31,0.02,,,250
2014-2-18,39,33,27,,26,,100,74,53,,29.24,,,,,,5,16,0.09,,,100
2014-2-19,38,33,27,,28,,96,85,70,,29.55,,,,,,4,17,0.02,,,110
2014-2-20,36,32,27,,28,,92,88,79,,29.89,,,,,,8,23,0.16,,,280
2014-2-21,37,32,27,,26,,92,81,64,,30.21,,,,,,4,12,0.01,,,100
2014-2-22,34,30,26,,13,,92,48,33,,30.29,,,,,,8,24,0.00,,,100
2014-2-23,37,32,26,,7,,88,34,23,,30.16,,,,,,7,23,0.00,,,80
2014-2-24,40,30,20,,13,,68,50,26,,30.12,,,,,,5,23,0.00,,,100
2014-2-25,45,37,29,,26,,79,62,42,,30.05,,,,,,7,17,0.00,,,330
2014-2-26,47,41,34,,35,,96,86,64,,29.83,,,,,,3,10,0.00,,,80
2014-2-27,43,38,32,,34,,92,82,71,,29.84,,,,,,2,10,0.00,,,330
2014-2-28,47,40,32,,29,,92,67,42,,29.92,,,,,,3,16,0.00,,,260
2014-3-1,42,35,28,,13,,61,41,27,,29.92,,,,,,6,25,0.00,,,120
2014-3-2,36,31,26,,2,,58,28,23,,29.80,,,,,,8,23,0.00,,,100
2014-3-3,30,26,22,,0,,42,32,25,,29.87,,,,,,7,19,0.00,,,110
2014-3-4,29,27,25,,13,,75,58,29,,30.02,,,,,,11,19,0.00,,,100
2014-3-5,36,28,20,,13,,88,58,30,,29.70,,,,,,4,13,0.00,,,330
2014-3-6,38,29,20,,13,,78,49,29,,29.63,,,,,,4,18,0.00,,,120
2014-3-7,45,37,29,,28,,82,66,52,,29.40,,,,,,14,39,0.08,,,110
2014-3-8,45,42,39,,37,,93,87,52,,29.16,,,,,,14,36,1.28,,,100
2014-3-9,41,39,37,,33,,100,85,37,,29.57,,,,,,9,27,0.83,,,180
2014-3-10,41,39,36,,35,,100,80,63,,29.83,,,,,,13,42,0.23,,,110
2014-3-11,45,42,39,,39,,100,88,68,,29.71,,,,,,13,31,1.39,,,110
2014-3-12,44,41,37,,34,,96,82,64,,29.91,,,,,,9,26,0.12,,,200
2014-3-13,45,42,39,,32,,89,65,58,,29.65,,,,,,14,26,0.01,,,110
2014-3-14,44,40,35,,34,,93,83,62,,29.61,,,,,,10,33,0.37,,,190
2014-3-15,43,39,35,,33,,93,79,58,,29.47,,,,,,8,24,0.34,,,130
2014-3-16,40,37,34,,28,,93,72,48,,29.86,,,,,,14,32,0.10,,,300
2014-3-17,43,39,34,,35,,89,84,76,,29.93,,,,,,9,24,0.22,,,110
2014-3-18,40,37,34,,33,,97,86,73,,29.70,,,,,,8,24,0.56,,,310
2014-3-19,42,37,31,,33,,97,88,70,,29.97,,,,,,4,12,0.09,,,180
2014-3-20,42,36,29,,31,,96,85,67,,30.24,,,,,,2,14,0.00,,,210
2014-3-21,44,38,31,,26,,92,62,47,,30.20,,,,,,11,29,0.00,,,100
2014-3-22,45,39,32,,19,,89,45,32,,30.27,,,,,,7,22,0.00,,,110
2014-3-23,44,37,30,,13,,54,36,28,,30.30,,,,,,9,25,0.00,,,110
2014-3-24,43,40,37,,12,,50,31,23,,29.94,,,,,,12,33,0.00,,,100
2014-3-25,47,42,37,,22,,57,48,28,,29.61,,,,,,8,27,0.00,,,110
2014-3-26,44,41,38,,22,,93,49,36,,29.67,,,,,,7,18,0.00,,,110
2014-3-27,44,40,36,,20,,62,46,37,,29.74,,,,,,8,22,0.00,,,110
2014-3-28,48,40,31,,20,,67,49,32,,29.61,,,,,,5,23,0.00,,,110
2014-3-29,51,42,32,,22,,70,48,28,,29.63,,,,,,6,20,0.00,,,110
2014-3-30,50,42,34,,28,,73,60,42,,29.83,,,,,,3,10,0.00,,,330
2014-3-31,48,41,34,,33,,82,72,56,,30.02,,,,,,6,23,0.00,,,300
2014-4-1,42,38,34,,32,,89,80,70,,29.92,,,,,,4,13,0.00,,,260
2014-4-2,42,37,32,,33,,96,87,70,,29.76,,,,,,3,16,0.08,,,110
2014-4-3,45,39,33,,32,,97,76,58,,29.74,,,,,,6,20,0.00,,,290
2014-4-4,44,38,31,,30,,96,70,47,,29.64,,,,,,9,26,0.20,,,110
2014-4-5,45,42,38,,37,,93,88,76,,29.62,,,,,,7,23,0.60,,,110
2014-4-6,48,44,39,,36,,93,74,61,,29.71,,,,,,11,32,0.17,,,100
2014-4-7,49,45,40,,40,,96,88,71,,29.39,,,,,,14,45,1.18,,,170
2014-4-8,45,41,36,,35,,89,81,71,,29.68,,,,,,12,30,0.30,,,220
2014-4-9,42,40,37,,36,,100,87,79,,29.67,,,,,,8,26,0.41,,,230
2014-4-10,43,41,38,,33,,97,75,60,,29.78,,,,,,8,34,0.07,,,330
2014-4-11,50,41,32,,28,,93,62,39,,30.15,,,,,,9,24,0.00,,,340
2014-4-12,46,38,30,,31,,85,72,54,,30.31,,,,,,2,10,0.00,,,100
2014-4-13,47,41,34,,31,,82,67,52,,30.22,,,,,,2,10,0.00,,,220
2014-4-14,46,43,40,,39,,93,85,73,,29.88,,,,,,4,12,0.10,,,320
2014-4-15,45,44,42,,40,,96,90,77,,29.89,,,,,,3,12,0.10,,,220
2014-4-16,53,47,41,,36,,96,66,47,,29.66,,,,,,8,25,0.01,,,100
2014-4-17,48,45,42,,40,,93,81,63,,29.40,,,,,,6,28,0.17,,,20
2014-4-18,50,45,40,,35,,93,70,48,,29.70,,,,,,9,28,0.28,,,200
2014-4-19,52,49,46,,32,,93,52,44,,29.38,,,,,,18,39,0.00,,,100
2014-4-20,53,48,43,,36,,83,65,50,,29.72,,,,,,13,35,0.07,,,100
2014-4-21,47,42,37,,36,,86,74,63,,29.93,,,,,,8,29,0.00,,,130
2014-4-22,50,42,34,,37,,93,80,63,,29.79,,,,,,11,25,0.00,,,300
2014-4-23,46,43,39,,37,,93,81,74,,29.75,,,,,,8,14,0.00,,,330
2014-4-24,50,45,39,,37,,86,76,66,,29.72,,,,,,9,23,0.00,,,290
2014-4-25,50,43,36,,37,,89,77,63,,29.75,,,,,,5,18,0.00,,,190
2014-4-26,53,48,42,,34,,82,56,45,,29.47,,,,,,11,31,0.00,,,100
2014-4-27,49,46,42,,39,,89,77,55,,29.53,,,,,,10,23,0.04,,,210
2014-4-28,50,46,42,,38,,92,76,57,,29.85,,,,,,8,32,0.02,,,120
2014-4-29,50,46,41,,39,,89,75,61,,30.18,,,,,,9,36,0.19,,,180
2014-4-30,57,48,39,,38,,93,69,49,,30.27,,,,,,4,16,0.00,,,300
2014-5-1,68,55,41,,33,,86,50,20,,30.20,,,,,,4,22,0.00,,,90
2014-5-2,71,63,55,,24,,80,22,16,,29.98,,,,,,7,29,0.00,,,100
2014-5-3,66,56,45,,20,,50,26,12,,29.95,,,,,,7,25,0.00,,,90
2014-5-4,60,51,41,,37,,86,65,32,,29.95,,,,,,4,15,0.00,,,210
2014-5-5,52,48,43,,40,,86,78,44,,30.04,,,,,,11,20,0.00,,,290
2014-5-6,51,48,44,,39,,85,74,63,,30.07,,,,,,6,15,0.00,,,230
2014-5-7,53,49,44,,37,,83,65,44,,29.84,,,,,,6,23,0.00,,,200
2014-5-8,57,51,45,,42,,93,76,53,,29.70,,,,,,4,12,0.05,,,330
2014-5-9,61,52,43,,44,,93,76,60,,29.81,,,,,,7,20,0.00,,,300
2014-5-10,52,50,47,,44,,86,81,77,,30.14,,,,,,7,15,0.00,,,240
2014-5-11,49,48,47,,42,,86,80,77,,30.25,,,,,,3,10,0.00,,,220
2014-5-12,57,51,44,,44,,93,73,55,,30.23,,,,,,7,19,0.01,,,110
2014-5-13,59,55,50,,48,,90,80,67,,30.16,,,,,,6,26,0.11,,,190
2014-5-14,52,50,48,,47,,93,89,75,,30.23,,,,,,5,19,0.00,,,190
2014-5-15,58,53,48,,47,,96,84,67,,30.24,,,,,,3,10,0.00,,,220
2014-5-16,70,58,46,,44,,93,61,42,,29.97,,,,,,4,12,0.00,,,240
2014-5-17,58,54,49,,48,,93,83,72,,29.96,,,,,,7,18,0.00,,,320
2014-5-18,51,50,48,,46,,96,88,72,,29.89,,,,,,5,12,0.00,,,240
2014-5-19,51,49,47,,44,,100,82,74,,29.77,,,,,,11,30,0.04,,,210
2014-5-20,51,48,44,,42,,93,81,74,,29.86,,,,,,8,20,0.14,,,190
2014-5-21,57,51,44,,41,,90,73,55,,29.82,,,,,,8,19,0.02,,,310
2014-5-22,59,50,41,,42,,89,74,60,,29.69,,,,,,8,26,0.00,,,320
2014-5-23,57,50,43,,43,,89,76,62,,29.92,,,,,,6,15,0.00,,,230
2014-5-24,55,50,45,,43,,90,76,62,,30.05,,,,,,4,13,0.00,,,230
2014-5-25,64,54,43,,41,,90,63,43,,29.97,,,,,,7,21,0.00,,,300
2014-5-26,57,51,44,,43,,83,71,62,,30.10,,,,,,13,24,0.00,,,290
2014-5-27,54,52,49,,41,,77,69,57,,30.28,,,,,,10,20,0.00,,,300
2014-5-28,52,50,48,,44,,93,81,71,,30.22,,,,,,3,8,0.00,,,230
2014-5-29,58,53,48,,47,,97,84,71,,30.16,,,,,,4,12,0.03,,,230
2014-5-30,53,52,50,,47,,92,87,77,,30.12,,,,,,7,25,0.10,,,200
2014-5-31,53,49,45,,45,,97,84,64,,30.24,,,,,,6,21,0.22,,,220
2014-6-1,56,50,44,,41,,93,72,57,,30.32,,,,,,7,22,0.00,,,280
2014-6-2,55,51,47,,45,,93,84,72,,30.22,,,,,,8,24,0.05,,,290
2014-6-3,50,47,44,,42,,93,82,74,,30.15,,,,,,4,16,0.14,,,290
2014-6-4,60,53,45,,45,,97,82,70,,30.24,,,,,,4,14,0.00,,,190
2014-6-5,55,51,46,,44,,90,77,67,,30.24,,,,,,4,16,0.00,,,230
2014-6-6,59,51,43,,44,,93,73,56,,30.10,,,,,,4,11,0.04,,,340
2014-6-7,55,53,50,,50,,97,91,77,,29.96,,,,,,7,27,0.45,,,200
2014-6-8,54,52,49,,47,,97,85,77,,29.89,,,,,,9,24,0.76,,,100
2014-6-9,58,53,48,,47,,96,85,74,,30.06,,,,,,7,17,0.32,,,220
2014-6-10,59,54,48,,47,,93,80,64,,30.13,,,,,,5,13,0.00,,,310
2014-6-11,59,52,45,,45,,97,73,58,,30.10,,,,,,8,22,0.00,,,320
2014-6-12,57,55,52,,43,,90,68,58,,30.07,,,,,,11,23,0.00,,,300
2014-6-13,54,52,49,,45,,93,80,67,,29.90,,,,,,8,27,0.31,,,110
2014-6-14,55,52,48,,46,,93,84,69,,29.76,,,,,,8,21,0.55,,,160
2014-6-15,59,53,47,,47,,93,82,67,,29.85,,,,,,6,16,0.25,,,330
2014-6-16,59,52,45,,47,,97,81,64,,29.98,,,,,,5,15,0.02,,,170
2014-6-17,57,53,48,,47,,96,84,74,,29.86,,,,,,11,32,1.09,,,100
2014-6-18,56,51,45,,45,,93,81,69,,29.98,,,,,,6,17,0.40,,,220
2014-6-19,59,52,44,,45,,96,80,58,,29.82,,,,,,5,15,0.13,,,300
2014-6-20,57,53,49,,46,,93,80,64,,29.84,,,,,,7,23,0.14,,,190
2014-6-21,60,56,51,,44,,93,64,56,,29.82,,,,,,11,24,0.01,,,110
2014-6-22,58,56,53,,49,,97,80,58,,29.77,,,,,,11,37,0.18,,,120
2014-6-23,58,55,52,,53,,100,96,72,,29.81,,,,,,2,8,0.40,,,290
2014-6-24,54,52,50,,50,,100,94,86,,29.95,,,,,,8,28,0.35,,,230
2014-6-25,56,52,48,,46,,100,79,67,,29.99,,,,,,6,21,0.05,,,190
2014-6-26,59,53,47,,46,,93,76,58,,29.68,,,,,,5,15,0.00,,,230
2014-6-27,65,58,50,,47,,90,69,56,,29.56,,,,,,5,15,0.00,,,210
2014-6-28,67,60,53,,51,,90,80,63,,29.72,,,,,,4,13,0.00,,,310
2014-6-29,63,58,52,,52,,96,87,67,,29.99,,,,,,3,19,0.19,,,190
2014-6-30,57,55,52,,52,,97,92,83,,30.17,,,,,,7,20,0.12,,,200
2014-7-1,64,57,50,,51,,96,81,58,,29.96,,,,,,3,13,0.00,,,110
2014-7-2,71,63,54,,52,,96,79,51,,29.75,,,,,,5,23,0.14,,,230
2014-7-3,64,59,53,,52,,97,83,72,,29.85,,,,,,5,21,0.01,,,210
2014-7-4,59,56,52,,52,,96,88,75,,29.88,,,,,,3,13,0.07,,,210
2014-7-5,69,59,49,,49,,96,69,49,,29.82,,,,,,8,22,0.00,,,120
2014-7-6,62,59,56,,50,,93,72,58,,30.07,,,,,,7,29,0.00,,,100
2014-7-7,61,58,54,,53,,96,88,60,,30.06,,,,,,7,25,0.18,,,190
2014-7-8,56,55,54,,53,,100,94,81,,30.06,,,,,,6,23,1.02,,,190
2014-7-9,58,56,54,,53,,97,94,83,,30.19,,,,,,4,19,0.13,,,290
2014-7-10,61,57,53,,52,,97,87,75,,30.13,,,,,,4,31,0.03,,,230
2014-7-11,57,56,54,,54,,100,94,87,,30.01,,,,,,5,21,1.30,,,190
2014-7-12,59,58,56,,56,,100,97,90,,30.08,,,,,,8,26,0.30,,,200
2014-7-13,58,57,56,,56,,100,97,96,,30.22,,,,,,3,12,0.29,,,200
2014-7-14,61,58,55,,55,,100,91,83,,30.22,,,,,,8,20,0.01,,,310
2014-7-15,64,59,54,,51,,96,77,65,,30.25,,,,,,12,21,0.00,,,330
2014-7-16,61,56,51,,49,,90,76,64,,30.22,,,,,,6,18,0.00,,,280
2014-7-17,59,55,51,,50,,93,85,75,,30.03,,,,,,3,11,0.11,,,240
2014-7-18,63,58,52,,51,,97,84,67,,29.70,,,,,,5,14,0.07,,,230
2014-7-19,60,57,54,,52,,93,87,75,,29.83,,,,,,3,15,0.00,,,310
2014-7-20,58,55,52,,52,,97,89,78,,29.84,,,,,,5,20,0.31,,,190
2014-7-21,69,60,51,,51,,97,75,53,,29.90,,,,,,5,13,0.00,,,310
2014-7-22,63,60,56,,54,,97,84,78,,30.03,,,,,,4,17,0.00,,,220
2014-7-23,62,59,56,,52,,87,79,72,,30.03,,,,,,3,12,0.00,,,230
2014-7-24,59,57,54,,52,,93,84,78,,29.92,,,,,,5,28,0.07,,,200
2014-7-25,58,55,52,,53,,100,93,81,,29.87,,,,,,4,18,0.54,,,130
2014-7-26,58,56,54,,55,,100,96,87,,29.91,,,,,,6,24,0.66,,,200
2014-7-27,61,58,55,,54,,97,90,78,,30.05,,,,,,4,17,0.22,,,220
2014-7-28,59,56,52,,54,,97,93,90,,30.00,,,,,,4,21,0.61,,,230
2014-7-29,61,56,50,,52,,97,89,75,,30.02,,,,,,5,21,0.38,,,210
2014-7-30,61,57,53,,53,,93,87,78,,30.24,,,,,,2,9,0.08,,,100
2014-7-31,67,59,50,,53,,100,83,65,,30.28,,,,,,4,14,0.00,,,290
2014-8-1,69,60,51,,53,,93,79,63,,30.20,,,,,,6,17,0.00,,,300
2014-8-2,67,60,52,,53,,97,84,68,,30.11,,,,,,4,13,0.00,,,220
2014-8-3,66,59,52,,55,,93,84,75,,30.07,,,,,,5,12,0.00,,,320
2014-8-4,64,60,56,,55,,96,84,75,,29.99,,,,,,10,37,0.08,,,190
2014-8-5,66,60,53,,53,,93,83,70,,30.04,,,,,,7,20,0.07,,,220
2014-8-6,63,59,54,,53,,96,84,72,,30.12,,,,,,6,15,0.40,,,230
2014-8-7,63,57,50,,51,,93,80,68,,29.98,,,,,,4,13,0.00,,,330
2014-8-8,64,60,55,,53,,93,84,70,,29.99,,,,,,4,21,0.20,,,190
2014-8-9,61,59,57,,54,,97,81,70,,29.82,,,,,,10,26,1.62,,,100
2014-8-10,62,60,58,,59,,100,95,86,,29.87,,,,,,8,23,3.45,,,110
2014-8-11,65,62,59,,60,,100,95,90,,29.88,,,,,,4,28,0.51,,,190
2014-8-12,64,61,57,,56,,100,88,76,,29.96,,,,,,4,29,0.04,,,200
2014-8-13,60,58,56,,56,,97,92,84,,29.97,,,,,,4,12,0.37,,,130
2014-8-14,65,61,57,,57,,97,89,80,,29.97,,,,,,6,22,0.38,,,190
2014-8-15,63,59,55,,56,,100,91,80,,29.98,,,,,,5,23,1.25,,,200
2014-8-16,63,57,51,,53,,93,83,75,,30.12,,,,,,8,26,0.07,,,200
2014-8-17,62,59,55,,56,,97,90,81,,29.97,,,,,,12,38,2.55,,,160
2014-8-18,63,59,54,,55,,97,89,75,,30.01,,,,,,7,19,0.46,,,230
2014-8-19,63,57,50,,52,,100,83,67,,30.00,,,,,,4,13,0.09,,,330
2014-8-20,66,57,48,,51,,97,82,61,,29.98,,,,,,3,11,0.00,,,220
2014-8-21,71,61,50,,54,,100,81,61,,30.11,,,,,,6,20,0.00,,,310
2014-8-22,65,60,55,,54,,93,83,68,,30.19,,,,,,6,15,0.00,,,310
2014-8-23,64,59,54,,54,,97,85,73,,30.16,,,,,,6,16,0.01,,,310
2014-8-24,58,56,54,,55,,97,94,87,,29.99,,,,,,6,19,0.30,,,120
2014-8-25,59,56,53,,56,,100,97,87,,29.92,,,,,,6,16,0.19,,,230
2014-8-26,58,56,53,,53,,100,93,87,,29.96,,,,,,8,23,0.73,,,220
2014-8-27,62,56,50,,52,,100,90,75,,30.07,,,,,,4,11,0.02,,,100
2014-8-28,61,55,49,,48,,100,77,63,,29.88,,,,,,8,23,0.00,,,190
2014-8-29,59,55,50,,50,,100,85,67,,29.53,,,,,,8,22,0.41,,,100
2014-8-30,61,54,47,,51,,100,93,69,,29.68,,,,,,5,20,0.13,,,300
2014-8-31,55,53,50,,52,,100,97,90,,29.67,,,,,,4,14,0.60,,,110
2014-9-1,58,54,49,,51,,100,91,77,,29.82,,,,,,3,21,0.33,,,270
2014-9-2,62,55,48,,51,,100,91,70,,30.04,,,,,,5,19,0.01,,,260
2014-9-3,57,55,52,,53,,100,96,83,,30.14,,,,,,6,20,0.07,,,240
2014-9-4,57,54,51,,53,,100,97,87,,30.16,,,,,,5,21,0.48,,,190
2014-9-5,60,57,53,,54,,100,93,78,,30.20,,,,,,10,24,0.13,,,190
2014-9-6,57,55,53,,56,,100,99,81,,29.96,,,,,,9,25,3.48,,,190
2014-9-7,57,53,49,,53,,100,97,81,,29.91,,,,,,4,16,0.15,,,310
2014-9-8,57,52,46,,50,,100,94,83,,30.06,,,,,,2,12,0.00,,,220
2014-9-9,58,52,45,,50,,100,92,78,,30.20,,,,,,2,9,0.00,,,90
2014-9-10,63,56,49,,48,,100,76,48,,30.21,,,,,,7,19,0.07,,,110
2014-9-11,57,55,52,,54,,100,96,93,,30.28,,,,,,5,17,0.28,,,120
2014-9-12,59,56,52,,52,,97,89,81,,30.29,,,,,,2,10,0.01,,,270
2014-9-13,61,58,55,,55,,100,93,86,,30.13,,,,,,2,10,0.00,,,230
2014-9-14,58,56,53,,53,,100,91,83,,30.00,,,,,,3,11,0.00,,,280
2014-9-15,61,57,53,,54,,100,93,81,,29.90,,,,,,4,13,0.04,,,220
2014-9-16,62,57,51,,54,,100,90,75,,29.85,,,,,,8,16,0.13,,,320
2014-9-17,58,53,47,,49,,100,85,62,,29.68,,,,,,4,17,0.00,,,110
2014-9-18,60,58,55,,50,,93,75,64,,29.26,,,,,,16,45,1.00,,,160
2014-9-19,59,55,51,,51,,96,85,62,,29.72,,,,,,11,40,0.66,,,170
2014-9-20,61,56,51,,52,,100,89,72,,29.64,,,,,,8,35,0.42,,,110
2014-9-21,65,58,51,,51,,100,83,58,,29.42,,,,,,15,60,0.76,,,170
2014-9-22,58,53,47,,49,,100,90,72,,29.79,,,,,,7,21,0.91,,,100
2014-9-23,62,54,45,,48,,100,86,62,,29.69,,,,,,3,17,0.00,,,330
2014-9-24,62,55,48,,44,,96,65,46,,29.56,,,,,,3,21,0.00,,,120
2014-9-25,57,55,53,,51,,97,91,75,,29.74,,,,,,2,16,0.47,,,120
2014-9-26,62,57,51,,51,,100,85,65,,29.79,,,,,,6,21,0.02,,,110
2014-9-27,61,57,52,,51,,100,81,65,,29.66,,,,,,11,41,0.53,,,200
2014-9-28,57,54,50,,51,,100,92,75,,29.55,,,,,,8,25,0.51,,,110
2014-9-29,57,51,45,,49,,100,93,83,,29.70,,,,,,4,12,0.12,,,110
2014-9-30,53,48,42,,43,,100,80,59,,29.89,,,,,,9,36,0.35,,,300
2014-10-1,54,45,35,,32,,97,66,32,,30.20,,,,,,5,23,0.02,,,330
2014-10-2,55,46,37,,35,,96,62,41,,29.83,,,,,,16,43,0.14,,,100
2014-10-3,58,55,52,,51,,100,90,68,,29.53,,,,,,19,50,1.44,,,180
2014-10-4,56,53,50,,47,,100,83,67,,29.91,,,,,,9,24,0.10,,,220
2014-10-5,56,52,47,,45,,100,77,59,,29.71,,,,,,15,44,0.23,,,170
2014-10-6,49,46,42,,41,,96,88,72,,30.04,,,,,,7,16,0.25,,,110
2014-10-7,47,42,36,,40,,100,91,74,,29.98,,,,,,5,20,0.11,,,350
2014-10-8,48,41,34,,38,,100,86,61,,29.91,,,,,,4,15,0.03,,,340
2014-10-9,56,50,43,,49,,100,92,77,,29.50,,,,,,12,33,1.26,,,120
2014-10-10,54,52,49,,50,,100,95,86,,29.38,,,,,,11,51,1.43,,,180
2014-10-11,51,50,48,,50,,100,97,92,,29.57,,,,,,10,30,0.98,,,230
2014-10-12,53,49,45,,46,,100,90,69,,29.56,,,,,,10,29,0.45,,,100
2014-10-13,53,46,39,,41,,100,83,61,,29.28,,,,,,9,35,0.12,,,120
2014-10-14,51,48,45,,38,,100,66,59,,29.38,,,,,,12,27,0.00,,,110
2014-10-15,54,51,48,,40,,74,65,56,,29.34,,,,,,15,31,0.00,,,100
2014-10-16,52,49,45,,42,,97,76,63,,29.52,,,,,,12,26,0.09,,,110
2014-10-17,55,46,37,,40,,100,82,55,,29.28,,,,,,4,18,0.10,,,120
2014-10-18,52,49,45,,44,,100,83,69,,29.25,,,,,,11,24,0.39,,,110
2014-10-19,51,48,45,,45,,100,90,80,,29.10,,,,,,9,21,0.50,,,110
2014-10-20,50,46,42,,44,,100,90,77,,29.28,,,,,,7,19,0.43,,,150
2014-10-21,52,49,45,,40,,90,70,59,,29.07,,,,,,15,35,0.00,,,130
2014-10-22,50,44,38,,41,,100,84,66,,29.27,,,,,,11,38,0.30,,,110
2014-10-23,49,44,38,,39,,96,79,66,,29.54,,,,,,6,21,0.00,,,110
2014-10-24,47,42,36,,39,,97,90,77,,29.78,,,,,,4,15,0.05,,,110
2014-10-25,50,43,36,,39,,100,90,77,,29.71,,,,,,5,14,0.00,,,320
2014-10-26,47,41,35,,40,,100,94,79,,29.86,,,,,,4,14,0.22,,,340
2014-10-27,50,43,36,,38,,100,83,57,,29.73,,,,,,5,22,0.07,,,100
2014-10-28,45,41,37,,37,,96,79,60,,29.45,,,,,,2,12,0.01,,,80
